Country,ISO3,Region,Insomnia_Prev_Pct,Anxiety_Prev_Pct,Narcolepsy_Prev_Pct,Any_Sleep_Disorder_Pct,Sleep_Apnea_Prev_Pct,Hypersomnia_Prev_Pct,RLS_Prev_Pct,Stress_Index,Conflict_Index
Lebanon,LBN,Asia,47.1,38.5,1.4,55.5,8.2,5.8,6.1,8.8,0.92
Palestine,PSE,Asia,52.3,44.1,1.6,59.6,7.9,6.2,6.8,9.2,0.98
Syria,SYR,Asia,44.8,41.2,1.5,53.1,7.5,5.5,6.3,8.9,0.95
Yemen,YEM,Asia,38.2,35.8,1.3,46.4,6.8,4.9,5.5,8.4,0.93
Iraq,IRQ,Asia,35.5,32.1,1.2,43.2,6.4,4.6,5.1,7.8,0.82
Jordan,JOR,Asia,30.4,27.3,1.0,38.5,5.9,4.1,4.7,6.9,0.55
Egypt,EGY,Africa,28.7,25.1,0.9,35.8,5.5,3.8,4.3,6.4,0.48
Saudi Arabia,SAU,Asia,35.8,29.4,1.1,42.5,7.1,4.5,5.0,6.8,0.38
UAE,ARE,Asia,32.1,26.8,1.0,39.4,6.5,4.2,4.7,6.2,0.25
Turkey,TUR,Asia,27.4,24.2,0.9,34.1,5.2,3.7,4.2,6.1,0.42
Iran,IRN,Asia,31.2,28.5,1.0,38.8,5.8,4.0,4.5,6.6,0.55
Morocco,MAR,Africa,33.5,28.1,1.0,40.2,6.1,4.1,4.6,6.3,0.35
Pakistan,PAK,Asia,26.8,23.5,0.8,33.4,5.0,3.5,3.9,5.8,0.62
India,IND,Asia,16.8,14.2,0.6,22.1,3.8,2.5,2.9,4.5,0.28
China,CHN,Asia,14.5,12.8,0.5,19.8,3.5,2.3,2.7,4.1,0.18
Japan,JPN,Asia,21.5,18.4,0.7,27.3,4.2,3.0,3.4,5.2,0.12
USA,USA,Americas,22.1,19.8,0.8,28.5,4.5,3.1,3.6,5.5,0.15
Brazil,BRA,Americas,18.9,17.1,0.6,24.8,4.0,2.7,3.2,5.1,0.22
UK,GBR,Europe,20.4,18.2,0.7,26.5,4.1,2.9,3.3,5.0,0.1
Germany,DEU,Europe,19.8,17.5,0.7,25.8,4.0,2.8,3.2,4.9,0.08
France,FRA,Europe,21.2,19.0,0.7,27.4,4.2,3.0,3.4,5.1,0.1
Nigeria,NGA,Africa,13.5,11.8,0.5,18.2,3.2,2.1,2.5,3.8,0.45
South Africa,ZAF,Africa,17.8,15.9,0.6,23.1,3.8,2.5,2.9,4.4,0.38
Australia,AUS,Oceania,20.1,18.0,0.7,26.2,4.0,2.8,3.2,4.8,0.05
Canada,CAN,Americas,20.5,18.4,0.7,26.8,4.1,2.9,3.3,4.9,0.05
Ukraine,UKR,Europe,38.4,35.2,1.3,46.8,6.5,4.8,5.4,8.1,0.9
Afghanistan,AFG,Asia,40.1,37.5,1.4,48.5,6.8,5.0,5.7,8.5,0.96
South Korea,KOR,Asia,23.5,20.8,0.8,30.1,4.6,3.2,3.7,5.6,0.1
Spain,ESP,Europe,21.8,19.5,0.7,28.1,4.3,3.0,3.5,5.2,0.08
Mexico,MEX,Americas,17.5,15.8,0.6,23.2,3.7,2.5,2.9,4.6,0.35
